#tail	head	KSP index
TGFBR1	TGFBR2	1
TGFB1	TGFBR1	2
SMAD3	FOXH1	3
TGFBR2	SMAD2	4
TGFB1	TGFBR1	5
SMAD2	SP1	6
NFYC	NFYA	7
ITGB1	TGFBR2	8
SMAD2	SMAD4	9
TGFB1	TGFBR1	10
TGFBR2	SMURF2	11
TGFBR1	DAB2	12
SDC2	TGFB1	13
E2F4	RBL2	14
STRAP	SMAD3	15
TGFB1	TGFBR1	16
TGFBR2	SMAD2	17
SMAD4	FOSB	18
ITGB3	TGFBR2	19
E2F4	TFDP2	20
SDC2	TGFB1	21
ITGB1	TGFBR2	22
SMAD2	MYC	23
TGFBR1	TGFBR2	24
TGFBR2	SMAD2	25
SDC2	TGFB1	26
RB1	E2F4	27
SDC2	TGFB1	28
SMAD3	DDX5	29
TGFBR1	SMAD3	30
SMAD2	EP300	31
SMAD7	TCF4	32
ITGB3	TGFBR2	33
SMAD3	TFDP1	34
SMAD2	FOXH1	35
SMAD4	HOXA9	36
SDC2	TGFB1	37
TGFBR2	SMAD2	38
SMAD3	ZEB2	39
ITGB3	TGFBR2	40
SMAD2	HDAC1	41
TGFBR1	SMAD3	42
TGFB1	TGFBR1	43
TGFBR1	SMAD6	44
TGFBR2	SMAD2	45
TGFBR1	SMAD3	46
SMAD3	AR	47
TGFBR2	STRAP	48
EP300	CITED1	49
SMAD2	SP1	50
SMAD2	SMAD4	51
SDC2	TGFB1	52
SMAD4	TFDP1	53
SMAD7	COPS5	54
SDC2	TGFB1	55
TGFB1	TGFBR1	56
TGFBR1	SMAD3	57
TGFBR1	SMAD2	58
ITGB3	TGFBR2	59
TGFBR2	POLD1	60
TGFBR2	SMAD2	61
SMAD2	FOXH1	62
TGFBR2	CTNNB1	63
TGFBR2	SMAD2	64
TGFBR2	SMAD2	65
TGFBR1	SMAD3	66
TGFBR2	SMAD2	67
SMAD3	FOXO1	68
SMAD2	JUN	69
TGFBR2	STRAP	70
SNIP1	CREBBP	71
SMAD3	E2F4	72
SMAD3	HNF4A	73
SMAD3	RBL1	74
TGFBR2	SMAD2	75
TGFBR1	SMAD3	76
SP1	ETS1	77
TRAP1	SMAD4	78
STRAP	SMAD3	79
ITGB1	TGFBR2	80
TGFB1	TGFBR1	81
SMAD3	NFYC	82
SMAD7	TCF4	83
TGFBR2	SMAD2	84
TGFBR1	SMAD3	85
TGFBR2	SMAD2	86
SMAD2	LEF1	87
SMAD2	MEF2A	88
TGFBR1	SMAD3	89
SMAD7	TCF4	90
FOXH1	FOXG1	91
SMAD2	HDAC1	92
SMAD3	RUNX1	93
SDC2	TGFB1	94
SMAD2	SOX9	95
ITGB1	TGFBR2	96
SMAD2	TGIF1	97
TGFB1	TGFBR1	98
SMURF2	SKIL	99
ITGB3	TGFBR2	100
ZFYVE9	PML	101
SDC2	TGFB1	102
ITGB1	TGFBR2	103
TGFBR2	SMAD2	104
SDC2	TGFB1	105
TGFBR2	SMAD2	106
TGFBR1	SMAD3	107
TGIF1	IRF2BP1	108
SDC2	TGFB1	109
SMAD3	DDX5	110
TGFBR2	STRAP	111
ITGB3	TGFBR2	112
POLD1	RB1	113
TGFB1	TGFBR1	114
ITGB3	TGFBR2	115
TGFBR2	SMAD2	116
TGFBR1	SMAD3	117
ITGB3	TGFBR2	118
TGFBR2	SMAD2	119
SMAD4	JUND	120
SMAD3	TFDP1	121
SMAD2	SMAD4	122
SMAD7	ITCH	123
SMAD2	HDAC1	124
ITGB3	TGFBR2	125
SMAD2	SMAD4	126
SMAD3	VDR	127
TGFBR1	SMAD3	128
TGFBR2	SMURF2	129
SMAD2	HDAC1	130
TGFBR1	SMAD3	131
TGFBR1	SMAD3	132
ITGB3	TGFBR2	133
SMAD3	FOS	134
ITGB1	TGFBR2	135
TGFB1	TGFBR2	136
TGFBR2	SMAD2	137
SMAD3	FOS	138
ITGB3	TGFBR2	139
ITGB3	TGFBR2	140
E2F4	TFDP2	141
TGFBR1	SMAD3	142
TGFBR1	SMAD3	143
TGFBR1	SMAD3	144
SMAD2	MEF2C	145
SMAD2	EP300	146
TGFBR1	SMAD3	147
ITGB3	TGFBR2	148
TGFBR2	STRAP	149
TGFBR2	SMAD7	150
SDC2	TGFB1	151
SMAD2	FOXH1	152
NFYC	NFYB	153
TGFBR1	SMAD3	154
SMAD3	E2F4	155
SMAD3	SOX9	156
SMAD3	NFYC	157
TGFBR1	STRAP	158
TGFBR1	SMAD3	159
SMAD3	BRCA1	160
SMAD4	OLIG1	161
SMAD2	LEF1	162
SMAD3	JUND	163
SDC2	TGFB1	164
SDC2	TGFB1	165
TGFBR2	DAB2	166
SMAD2	SKIL	167
SMAD3	AR	168
ITGB1	TGFBR2	169
SMAD3	OLIG1	170
ITGB1	TGFBR2	171
SMAD4	FOSB	172
TGFBR1	SMAD3	173
SMAD3	NFYC	174
TGFBR1	SMAD7	175
TGFBR1	SMAD3	176
SMAD3	BRCA1	177
STRAP	SMAD3	178
SMAD3	OLIG1	179
SDC2	TGFB1	180
ITGB1	TGFBR2	181
SMAD3	JUNB	182
TGFBR1	SMAD7	183
SMAD2	TGIF1	184
SMAD3	TRIM33	185
TGFBR2	DAB2	186
SMAD3	FOXH1	187
SMAD2	SMAD4	188
ITGB3	TGFBR2	189
SMAD4	FOXO4	190
ITGB3	TGFBR2	191
SDC2	TGFB1	192
TGFBR2	SMAD2	193
SMAD7	MAPK14	194
TGFBR1	SMAD7	195
SMAD4	DCP1A	196
TGIF1	IRF2BP1	197
TGFBR1	SMAD3	198
ITGB3	TGFBR2	199
TGFBR2	STRAP	200
ITGB3	TGFBR2	201
ITGB3	TGFBR2	202
SMAD2	SMAD4	203
TGFBR1	SMAD2	204
TGFBR2	SMAD2	205
ITGB1	TGFBR2	206
TGFBR1	SMAD3	207
SMAD2	SNIP1	208
TGFBR2	SMAD2	209
TGFB1	TGFBR1	210
TGFBR1	SMAD3	211
ITGB1	TGFBR2	212
TGFBR2	SMAD2	213
SDC2	TGFB1	214
TGFBR1	SMAD3	215
SMAD3	WWTR1	216
SMAD3	RUNX2	217
TGFBR1	SMAD3	218
TGFBR2	STRAP	219
TGFBR2	POLD1	220
SMAD2	ING2	221
SMAD3	AR	222
SMAD4	JUNB	223
TGFBR2	SMAD2	224
SMAD2	SMAD4	225
ITGB1	TGFBR2	226
SMAD2	EP300	227
TGFBR2	STRAP	228
TGFBR2	SMAD2	229
TGFBR2	STRAP	230
TGFBR2	SMAD2	231
SMAD2	WWTR1	232
SMAD4	TFDP1	233
ITGB3	TGFBR2	234
SMAD3	DDX5	235
TGFBR2	STRAP	236
SMAD2	ZEB1	237
SMAD2	TGIF1	238
STRAP	SMAD3	239
ITGB3	TGFBR2	240
SMAD4	CITED1	241
SMAD2	HDAC1	242
SMAD3	BRCA1	243
ITGB3	TGFBR2	244
ITGB3	TGFBR2	245
ITGB3	TGFBR2	246
SDC2	TGFB1	247
TGFBR2	SMAD2	248
TGFBR1	SMAD3	249
SDC2	TGFB1	250
SMAD2	NFYC	251
ITGB3	TGFBR2	252
TGFBR2	SMAD2	253
ITGB1	TGFBR2	254
SMAD2	TGIF1	255
SMAD7	ITCH	256
SDC2	TGFB1	257
TGFBR2	SMAD2	258
SMAD2	MEF2C	259
SMAD2	SOX9	260
SMAD4	OLIG1	261
ITGB3	TGFBR2	262
ITGB3	TGFBR2	263
SMAD3	TFDP1	264
ITGB3	TGFBR2	265
TGFBR1	SMAD7	266
SMAD3	CTCF	267
TGFBR2	SMAD2	268
TGFBR1	ZFYVE9	269
